period,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct
post_covid_2023_2026,0,ridge_global_open,4,0.7717066223357593,1.240055273379627,1.5298365323966925,0.5387883618229777,0.5344317993830748,0.40178054347309006,0.5762778887778888,0.9010150046640729,0.8459957693311697,2.0218928265471656,5.146819496885112,499.0,3,4,0.5351663457468475,1.4419939304270146,-44.19939304270146
post_covid_2023_2026,0,ridge_google_wiki,1,0.4585528421189795,0.701926020073706,0.8636630252111012,0.8322705031191728,0.7820774685437201,0.33216928251771455,0.5546401188822792,0.8925697560279442,0.4030032436345468,0.8949451183655853,3.20710212146643,499.0,3,4,0.19790722877319114,2.3170090600606494,-131.70090600606494
post_covid_2023_2026,0,ridge_google_wiki,2,0.5108524854258158,0.8171717780528729,1.0376206027688046,0.7232052650435682,0.6706339994378828,0.4269176854891141,0.6573325880468738,0.9359144823430537,0.6486832833597991,1.4761356871446571,4.608660037432675,499.0,3,4,0.3326065607660787,1.5359062197967197,-53.59062197967197
post_covid_2023_2026,0,ridge_google_wiki,3,0.5936273000656122,0.9894343630631212,1.252094199137301,0.5847740865474712,0.5927973551322171,0.40762337284347255,0.6599137527293674,0.9298838619851909,0.7828798628293178,1.9286497682562462,5.099074386590211,499.0,3,4,0.43994479337872766,1.3493222536096399,-34.93222536096398
post_covid_2023_2026,0,ridge_google_wiki,4,0.735093753896102,1.1931923787751002,1.4831013017458794,0.5464051904985219,0.5470516260017118,0.40830132600318936,0.599198420626992,0.9313180349671032,0.8245317576893747,2.017219869435475,5.076046543058488,499.0,3,4,0.5351663457468475,1.3735799340488184,-37.35799340488184
post_covid_2023_2026,0,ridge_no_digital,1,0.3186307248606229,0.5134017274235345,0.6641549970078536,0.8608731105618349,0.8103429039447532,0.37341919114567196,0.6469736709283748,0.9403339836702206,0.3892959739863941,0.9386905488050911,3.432735099968376,499.0,3,4,0.19790722877319114,1.6100004372542918,-61.00004372542918
post_covid_2023_2026,0,ridge_no_digital,2,0.5036339171042349,0.8397106539787234,1.0501742430629304,0.720960262069637,0.6724714445497205,0.36310491096205383,0.6976303854875283,0.9010035995750281,0.6967059126550218,1.6963792289397832,4.722221172054595,499.0,3,4,0.3326065607660787,1.5142031953435797,-51.42031953435797
post_covid_2023_2026,0,ridge_no_digital,3,0.5915647969909584,0.9999139189520303,1.2476446115908737,0.6006020710286099,0.5987087657666949,0.4538717096856632,0.6986309417787823,0.9441314614695013,0.9481779177196691,2.0036848640521905,5.069219865414266,499.0,3,4,0.43994479337872766,1.3446341584083898,-34.463415840838984
post_covid_2023_2026,0,ridge_no_digital,4,0.7270065402752138,1.1992486010842218,1.491674384814037,0.5297948513909787,0.5613575232459035,0.48207899760694795,0.6542273720068751,0.9345897373847684,1.0418749459160133,2.1558460582956056,5.050790289422232,499.0,3,4,0.5351663457468475,1.3584683455022664,-35.84683455022664
post_covid_2023_2026,0,ridge_raw_cn_search,1,0.2452481413281704,0.39718177500749086,0.5394672187606292,0.9109610616581727,0.8576014575758347,0.43103332497931807,0.7250480355881054,0.9403339836702206,0.3932816070270111,1.0649133418689105,3.423397535123101,499.0,3,4,0.19790722877319114,1.2392075966524378,-23.920759665243786
post_covid_2023_2026,0,ridge_raw_cn_search,2,0.379948021665667,0.6286557305519976,0.8259765892968476,0.8118372644804949,0.7707136466232108,0.40804247339961625,0.7572510426081854,0.9050620411334697,0.6383866568849218,1.6128614336560758,4.491419977934952,499.0,3,4,0.3326065607660787,1.1423347176031307,-14.233471760313066
post_covid_2023_2026,0,ridge_raw_cn_search,3,0.40821728521007433,0.6586140018852933,0.9367135092675807,0.6963445302226158,0.7123840150016432,0.6029451814335535,0.8183681167485154,0.9477798641004621,1.1135904434952844,2.064499345524701,5.261065599262633,499.0,3,4,0.43994479337872766,0.9278829783960175,7.211702160398248
post_covid_2023_2026,0,ridge_raw_cn_search,4,0.47455588071442883,0.7555059041077193,1.0906899689053111,0.5899803704542296,0.6424345629406067,0.6377937538651824,0.8033481787363774,0.945788683366323,1.247592558965392,2.2997669475660123,5.205363132522556,499.0,3,4,0.5351663457468475,0.88674462526631,11.325537473368996
post_covid_2023_2026,0,ridge_social_raw,1,0.2737946279726178,0.47105423467209157,0.6252240157138514,0.8982561025094649,0.8571912275018271,0.4570594910316165,0.7456326339166061,0.9350963351398892,0.7431105799913592,1.494267389898239,3.1899126623990504,499.0,3,4,0.19790722877319114,1.3834493548813032,-38.34493548813032
post_covid_2023_2026,0,ridge_social_raw,2,0.4420590672426928,0.7652896132250305,0.9698189615803366,0.8010010585618054,0.7483091988634242,0.42176022390308104,0.7530414823271966,0.9013772338772338,1.015782886149564,2.136421955799817,4.789362958151647,499.0,3,4,0.3326065607660787,1.3290750074938893,-32.90750074938893
post_covid_2023_2026,0,ridge_social_raw,3,0.5286132385700443,0.8744643343983953,1.1385543786149372,0.6515017304162402,0.6233695201850888,0.5340536862546829,0.7508907320992039,0.9110462488784749,1.200502734142475,2.392447794691059,5.310659416008453,499.0,3,4,0.43994479337872766,1.2015444813208327,-20.154448132083267
post_covid_2023_2026,0,ridge_social_raw,4,0.5819548368140824,0.9283752412465144,1.2477716904978353,0.5493656704228429,0.5791993962748827,0.5993102394499911,0.7289938322547017,0.9094458853775623,1.318164887670436,2.543477527614994,5.303102001734141,499.0,3,4,0.5351663457468475,1.0874279398154971,-8.742793981549713
