scope,test_season,country,horizon,model,official_delay_weeks,probability_threshold,threshold_source,available_target_start,available_target_end,available_weeks,n_events,n_alarms,matched,sensitivity,PPV,F1,mean_lead_weeks
test_season,2025/2026,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-13,42,2,4,2,1.0,0.5,0.6666666666666666,4.0
test_season,2025/2026,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-20,43,2,4,2,1.0,0.5,0.6666666666666666,4.0
test_season,2025/2026,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-27,44,2,4,2,1.0,0.5,0.6666666666666666,5.0
all_available_seasons,ALL_AVAILABLE_SEASONS,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2019-01-14,2026-04-06,364,27,53,27,1.0,0.5094339622641509,0.6749999999999999,3.6666666666666665
all_available_seasons,ALL_AVAILABLE_SEASONS,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2019-01-21,2026-04-13,364,28,56,27,0.9642857142857143,0.48214285714285715,0.6428571428571429,4.074074074074074
all_available_seasons,ALL_AVAILABLE_SEASONS,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-01-28,2026-04-20,364,28,25,16,0.5714285714285714,0.64,0.6037735849056605,2.75
all_available_seasons,ALL_AVAILABLE_SEASONS,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2019-02-04,2026-04-27,364,26,42,21,0.8076923076923077,0.5,0.6176470588235294,4.190476190476191
all_available_seasons,ALL_AVAILABLE_SEASONS,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-01-07,2026-04-06,370,12,26,12,1.0,0.46153846153846156,0.631578947368421,4.0
all_available_seasons,ALL_AVAILABLE_SEASONS,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2019-01-14,2026-04-13,370,12,28,12,1.0,0.42857142857142855,0.6,4.166666666666667
all_available_seasons,ALL_AVAILABLE_SEASONS,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-01-21,2026-04-20,370,11,25,11,1.0,0.44,0.6111111111111112,4.181818181818182
all_available_seasons,ALL_AVAILABLE_SEASONS,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2019-01-28,2026-04-27,370,11,34,11,1.0,0.3235294117647059,0.48888888888888893,4.909090909090909
all_available_seasons,ALL_AVAILABLE_SEASONS,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-01-07,2026-04-06,370,13,24,13,1.0,0.5416666666666666,0.7027027027027027,3.230769230769231
all_available_seasons,ALL_AVAILABLE_SEASONS,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2019-01-14,2026-04-13,370,12,24,12,1.0,0.5,0.6666666666666666,3.9166666666666665
all_available_seasons,ALL_AVAILABLE_SEASONS,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-01-21,2026-04-20,370,12,20,11,0.9166666666666666,0.55,0.6874999999999999,3.6363636363636362
all_available_seasons,ALL_AVAILABLE_SEASONS,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-01-28,2026-04-27,370,12,20,11,0.9166666666666666,0.55,0.6874999999999999,3.8181818181818183
