evaluation,official_delay_weeks,model,horizon,WIS,activity
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,0.31819607300007363,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,0.5180989954278282,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,0.6724175202223925,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,0.8115400577414592,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,0.29748673917054597,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,0.47961517674555904,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,0.652703573798178,high
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,4,0.7704001487378246,high
temporal_external_2025_2026,0,gb_full_raw,1,0.44981431766373897,high
temporal_external_2025_2026,0,gb_full_raw,2,0.5532184558246623,high
temporal_external_2025_2026,0,gb_full_raw,3,0.682529466138123,high
temporal_external_2025_2026,0,gb_full_raw,4,0.7099398279564073,high
temporal_external_2025_2026,0,persistence,1,0.3871232901257818,high
temporal_external_2025_2026,0,persistence,2,0.6564604098468857,high
temporal_external_2025_2026,0,persistence,3,0.8754207982647658,high
temporal_external_2025_2026,0,persistence,4,1.0390362402763562,high
temporal_external_2025_2026,0,ridge_global_open,1,0.34354610519593226,high
temporal_external_2025_2026,0,ridge_global_open,2,0.5928064513127974,high
temporal_external_2025_2026,0,ridge_global_open,3,0.7006609335789814,high
temporal_external_2025_2026,0,ridge_global_open,4,0.7397713425827656,high
temporal_external_2025_2026,0,ridge_google_wiki,1,0.3459573914582157,high
temporal_external_2025_2026,0,ridge_google_wiki,2,0.5455206618035158,high
temporal_external_2025_2026,0,ridge_google_wiki,3,0.6074439455580687,high
temporal_external_2025_2026,0,ridge_google_wiki,4,0.6554030330938089,high
temporal_external_2025_2026,0,ridge_no_digital,1,0.297271428821044,high
temporal_external_2025_2026,0,ridge_no_digital,2,0.4827122817677349,high
temporal_external_2025_2026,0,ridge_no_digital,3,0.5854369389598979,high
temporal_external_2025_2026,0,ridge_no_digital,4,0.6754436650936819,high
temporal_external_2025_2026,0,ridge_raw_cn_search,1,0.2988218872218669,high
temporal_external_2025_2026,0,ridge_raw_cn_search,2,0.4668828456620105,high
temporal_external_2025_2026,0,ridge_raw_cn_search,3,0.5735510039443524,high
temporal_external_2025_2026,0,ridge_raw_cn_search,4,0.6573189453887781,high
temporal_external_2025_2026,0,ridge_social_raw,1,0.30983095424439866,high
temporal_external_2025_2026,0,ridge_social_raw,2,0.5222383297995663,high
temporal_external_2025_2026,0,ridge_social_raw,3,0.6896364945905366,high
temporal_external_2025_2026,0,ridge_social_raw,4,0.7913437017867992,high
temporal_external_2025_2026,0,seasonal_naive,1,0.7474357858154663,high
temporal_external_2025_2026,0,seasonal_naive,2,0.7495347279938985,high
temporal_external_2025_2026,0,seasonal_naive,3,0.7526268139212874,high
temporal_external_2025_2026,0,seasonal_naive,4,0.7643557344795727,high
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,1,0.47084294024006396,high
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,2,0.6017960546376132,high
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,3,0.7051807015681248,high
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,4,0.7080106108557017,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,1,0.5301626841781305,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,2,0.6846518341418998,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,3,0.787009041949175,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,4,0.8374955230513695,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,1,0.5034487565440974,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,2,0.6374413345274951,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,3,0.7486192571256547,high
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,4,0.7743145987881336,high
temporal_external_2025_2026,1,gb_full_raw,1,0.58467805969276,high
temporal_external_2025_2026,1,gb_full_raw,2,0.6672548715390288,high
temporal_external_2025_2026,1,gb_full_raw,3,0.7015848736025143,high
temporal_external_2025_2026,1,gb_full_raw,4,0.662558711594081,high
temporal_external_2025_2026,1,persistence,1,0.6701496126055102,high
temporal_external_2025_2026,1,persistence,2,0.8831043821111141,high
temporal_external_2025_2026,1,persistence,3,1.0461118043151925,high
temporal_external_2025_2026,1,persistence,4,1.1004362904747735,high
temporal_external_2025_2026,1,ridge_global_open,1,0.5515510536406057,high
temporal_external_2025_2026,1,ridge_global_open,2,0.7465748055578353,high
temporal_external_2025_2026,1,ridge_global_open,3,0.8235670317002786,high
temporal_external_2025_2026,1,ridge_global_open,4,0.7895704485617449,high
temporal_external_2025_2026,1,ridge_google_wiki,1,0.5508801559670756,high
temporal_external_2025_2026,1,ridge_google_wiki,2,0.6840192452184914,high
temporal_external_2025_2026,1,ridge_google_wiki,3,0.700228704420304,high
temporal_external_2025_2026,1,ridge_google_wiki,4,0.672114320561258,high
temporal_external_2025_2026,1,ridge_no_digital,1,0.49258201530168194,high
temporal_external_2025_2026,1,ridge_no_digital,2,0.6035087900388877,high
temporal_external_2025_2026,1,ridge_no_digital,3,0.6771305986809072,high
temporal_external_2025_2026,1,ridge_no_digital,4,0.6764105337568093,high
temporal_external_2025_2026,1,ridge_raw_cn_search,1,0.4804593688176341,high
temporal_external_2025_2026,1,ridge_raw_cn_search,2,0.5730120805986134,high
temporal_external_2025_2026,1,ridge_raw_cn_search,3,0.6419805453380968,high
temporal_external_2025_2026,1,ridge_raw_cn_search,4,0.6526974854948316,high
temporal_external_2025_2026,1,ridge_social_raw,1,0.5282275528553143,high
temporal_external_2025_2026,1,ridge_social_raw,2,0.6780592854710079,high
temporal_external_2025_2026,1,ridge_social_raw,3,0.8102724893872167,high
temporal_external_2025_2026,1,ridge_social_raw,4,0.8261042548138976,high
temporal_external_2025_2026,1,seasonal_naive,1,0.7510657273718074,high
temporal_external_2025_2026,1,seasonal_naive,2,0.7528379167606126,high
temporal_external_2025_2026,1,seasonal_naive,3,0.7563168068570221,high
temporal_external_2025_2026,1,seasonal_naive,4,0.7711402256735115,high
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,1,0.5906523042410655,high
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,2,0.6982159478303016,high
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,3,0.7576689813323053,high
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,4,0.7471935768030716,high
